question,status,sql,row_count,error,column_names
Get all product codes,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
List all countries from offices,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Show all order statuses,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get all payment amounts,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
List all job titles,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get customer phone numbers,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Show product MSRP values,success,SELECT * FROM carts;,4,,"[""id"", ""user_id"", ""created_at"", ""updated_at""]"
List order numbers,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get orders with customer names,success,SELECT * FROM users;,4,,"[""id"", ""username"", ""email"", ""password_hash"", ""first_name"", ""last_name"", ""created_at"", ""updated_at""]"
Get employees with office city,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get payments with customer names,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get order details with product names,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get products with product line description,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get customers with sales rep names,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get orders with customer city,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get employees and their manager,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get orderdetails with product vendor,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get payments with customer country,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Count customers per country,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Total payments per customer,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Number of orders per status,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Products per product line,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Employees per office,success,SELECT * FROM users;,4,,"[""id"", ""username"", ""email"", ""password_hash"", ""first_name"", ""last_name"", ""created_at"", ""updated_at""]"
Total stock per product vendor,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Average buy price per product line,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Orders per customer,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Max MSRP per product line,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Min buy price per vendor,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Total number of customers,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Total number of products,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Total revenue from payments,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Average product price,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Max payment amount,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Min payment amount,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Count total orders,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Total quantity in stock,success,SELECT * FROM carts;,4,,"[""id"", ""user_id"", ""created_at"", ""updated_at""]"
Average MSRP,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Number of employees,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
